Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set
1993-03-01,1217.52,54.76,127.4345,24.5,67.35,0.82,174054.0,0.1000470430107526,0.0433977327159508,0.2444554004249404,0.7272727272727275,0.7670650192424551,0.0948081264108352,0.0391261743859034,-1.1042472891500736,-1.3224555539142466,-0.0764398732678413,1.4798524382429648,0.7701069133196373,-0.97870395682704,-1.1586923180802198,Medium,High,Low,Train
1993-04-01,1218.09,51.38,171.4105,23.3,75.78,0.82,174054.0,0.1002385752688171,0.0326041832987386,0.3340915348526198,0.454545454545455,0.9378164877455948,0.0948081264108352,0.0391261743859034,-1.10366703273789,-1.395471368876762,0.5161474376639219,0.1422719603761207,1.5484117838405274,-0.97870395682704,-1.1586923180802198,High,Medium,Low,Train
1993-05-01,1213.27,54.18,151.461,22.7,69.36,0.82,174054.0,0.0986189516129032,0.0415455851828197,0.2934285354037161,0.3181818181818183,0.8077780028357304,0.0948081264108352,0.0391261743859034,-1.1085737623988103,-1.3349848949433172,0.2473230662014603,-0.5265182785573033,0.9556813842267536,-0.97870395682704,-1.1586923180802198,High,Low,Low,Train
1993-06-01,1199.09,54.54,49.86246,22.5,63.26,0.82,174054.0,0.0938541666666666,0.0426951939964873,0.0863405694883086,0.2727272727272725,0.6842211869556412,0.0948081264108352,0.0391261743859034,-1.123008913144007,-1.327208062580446,-1.121742005955925,-0.7494483582017766,0.3924951789862523,-0.97870395682704,-1.1586923180802198,Low,Low,Low,Train
1993-07-01,1197.57,60.61,27.89451,21.4,50.11,0.82,174054.0,0.0933434139784946,0.0620788759380488,0.0415633701227334,0.0227272727272724,0.417865100263318,0.0948081264108352,0.0391261743859034,-1.1245562635764963,-1.1960820280175848,-1.417765482788366,-1.975563796246386,-0.8215865585404019,-0.97870395682704,-1.1586923180802198,Low,Low,Low,Train
1993-08-01,1196.65,67.69,63.33907,22.1,50.41,0.82,174054.0,0.0930342741935484,0.084687849273511,0.1138098987949624,0.1818181818181825,0.4239416649787322,0.0948081264108352,0.0391261743859034,-1.1254928177856345,-1.0431376582144452,-0.9401414038007472,-1.1953085174907232,-0.7938888763154595,-0.97870395682704,-1.1586923180802198,Low,Low,Low,Train
1993-09-01,1181.99,71.64,117.9563,22.0,57.84,0.82,174054.0,0.0881081989247312,0.0973016126456969,0.2251360169127422,0.1590909090909091,0.5744379177638244,0.0948081264108352,0.0391261743859034,-1.1404166055095122,-0.9578085253440496,-0.2041609268078049,-1.306773557312962,-0.1079096132110449,-0.97870395682704,-1.1586923180802198,Medium,Low,Low,Train
1993-10-01,1170.84,67.78,76.55813,22.8,71.17,0.82,174054.0,0.0843615591397849,0.084975251476928,0.1407542647938609,0.3409090909090908,0.8444399432853962,0.0948081264108352,0.0391261743859034,-1.151767235326786,-1.0411934501237272,-0.7620113506252505,-0.4150532387350646,1.122790733650575,-0.97870395682704,-1.1586923180802198,Low,Medium,Low,Train
1993-11-01,1165.01,70.03,148.0802,22.5,74.72,0.82,174054.0,0.0824025537634408,0.0921603065623503,0.2865374620165709,0.2727272727272725,0.9163459590844644,0.0948081264108352,0.0391261743859034,-1.1577021386303472,-0.9925882478557804,0.2017659627632641,-0.7494483582017766,1.450546639979063,-0.97870395682704,-1.1586923180802198,Medium,Low,Low,Train
1993-12-01,1146.0,71.5,101.0854,22.4,75.39,0.82,174054.0,0.0760147849462365,0.0968545425514929,0.1907481175968441,0.25,0.9299169536155564,0.0948081264108352,0.0391261743859034,-1.17705419897352,-0.960832849040722,-0.4315004134368452,-0.8609133980240152,1.5124047969481018,-0.97870395682704,-1.1586923180802198,Medium,Low,Low,Train
