Date,Exchange_Rate,ICO_Composite_Price,Rainfall,Temperature,Average_Relative_Humidity,Export_Price_Robusta,Total_Export_Volume,Exchange_Rate_minmax,ICO_Composite_Price_minmax,Rainfall_minmax,Temperature_minmax,Average_Relative_Humidity_minmax,Export_Price_Robusta_minmax,Total_Export_Volume_minmax,Exchange_Rate_zscore,ICO_Composite_Price_zscore,Rainfall_zscore,Temperature_zscore,Average_Relative_Humidity_zscore,Export_Price_Robusta_zscore,Total_Export_Volume_zscore,Rainfall_bin,Temperature_bin,Export_Value_bin,Set,Robusta_Kiboko_Price
1992-01-01,970.0,61.12,35.03382,23.3,66.16,0.81,171101.0,0.0168746711409187,0.0637081405009868,0.0561154019328315,0.454545454545455,0.7429613125379786,0.0925507900677201,0.0348519958951675,-1.3562208241075924,-1.1850653498052794,-1.3215617132014843,0.1422719603761207,0.6602394404940315,-0.9925409137670124,-1.184417668649129,Low,Medium,Low,Train,224.0
1992-02-01,985.48,55.51,49.64767,23.8,66.89,0.81,171101.0,0.0220762862519607,0.0457932197886792,0.0859027637462284,0.5681818181818183,0.7577476200121533,0.0925507900677201,0.0348519958951675,-1.340462281959156,-1.306254626628907,-1.1246365216944545,0.699597159487306,0.7276371339080591,-0.9925409137670124,-1.184417668649129,Low,High,Low,Train,207.0
1992-03-01,1160.08,56.48,54.33682,24.2,70.99,0.81,171101.0,0.0807456659927842,0.0488908085749427,0.0954606425835841,0.6590909090909092,0.8407940044561477,0.0925507900677201,0.0348519958951675,-1.162720585633771,-1.285300330992736,-1.0614490822616434,1.145457318776253,1.1061721243156086,-0.9925409137670124,-1.184417668649129,Low,High,Low,Train,247.0
1992-04-01,1158.91,53.64,119.0856,23.7,71.59,0.81,171101.0,0.0803525206646241,0.0398215795512433,0.2274378653439132,0.545454545454545,0.8529471338869763,0.0925507900677201,0.0348519958951675,-1.1639116382380132,-1.3466510522367827,-0.1889434864503722,0.5881321196650674,1.1615674887654948,-0.9925409137670124,-1.184417668649129,Medium,High,Low,Train,235.0
1992-05-01,1164.94,49.27,125.3133,22.8,62.59,0.81,171101.0,0.0823787312020649,0.025866463060551,0.240131765525268,0.3409090909090908,0.6706501924245496,0.0925507900677201,0.0348519958951675,-1.1577731363546109,-1.4410533944327275,-0.1050237106795568,-0.4150532387350646,0.3306370220172142,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train,217.0
1992-06-01,1166.06,48.13,108.6029,22.1,59.61,0.81,171101.0,0.082755075447825,0.022225997889066,0.2060710128251522,0.1818181818181825,0.6102896495847683,0.0925507900677201,0.0348519958951675,-1.1566329834343103,-1.4656800923968876,-0.3302004245611877,-1.1953085174907232,0.0555067119161165,-0.9925409137670124,-1.184417668649129,Medium,Low,Low,Train,251.0
1992-07-01,1177.86,48.7,107.312,22.3,52.31,0.81,171101.0,0.0867201308942265,0.0240462304748085,0.2034397756518602,0.2272727272727275,0.4624265748430223,0.0925507900677201,0.0348519958951675,-1.144620658024004,-1.4533667434148076,-0.3475956167738097,-0.97237843784625,-0.6184702222241553,-0.9925409137670124,-1.184417668649129,Medium,Low,Low,Train,210.0
1992-08-01,1185.29,45.89,41.881,22.3,64.18,0.81,171101.0,0.0892167717388676,0.0150728031661482,0.0700719861362724,0.2272727272727275,0.702855985416245,0.0925507900677201,0.0348519958951675,-1.137056964990226,-1.5140693936597975,-1.2292942934056672,-0.97237843784625,0.4774347378094107,-0.9925409137670124,-1.184417668649129,Low,Low,Low,Train,220.0
1992-09-01,1185.15,47.11,126.1728,23.2,65.86,0.81,171101.0,0.0891697287081476,0.0189687395777374,0.2418836815144573,0.4318181818181816,0.7368847478225646,0.0925507900677201,0.0348519958951675,-1.1371994841052633,-1.4877145063648198,-0.0934417386393148,0.030806920553882,0.6325417582690891,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train,215.0
1992-10-01,1181.07,52.88,140.0685,23.5,67.15,0.81,171101.0,0.087798760384307,0.0373946027702534,0.2702072405731872,0.5,0.7630139760988459,0.0925507900677201,0.0348519958951675,-1.1413528983149288,-1.3630688508795556,0.0938062065376396,0.3652020400205941,0.7516417918363433,-0.9925409137670124,-1.184417668649129,Medium,Medium,Low,Train,225.0
1992-11-01,1196.34,57.49,181.3497,23.2,68.28,0.81,171101.0,0.092929810949269,0.0521161329812583,0.3543505731303983,0.4318181818181816,0.7859023698602392,0.0925507900677201,0.0348519958951675,-1.125808134839049,-1.263481940691156,0.6500804406128493,0.030806920553882,0.8559697282169603,-0.9925409137670124,-1.184417668649129,High,Medium,Low,Train,250.0
